slide_num,positive,negative,total,select_prop
A837,2854.0,20717.0,23571.0,0.12108098935132154
A1028,802.0,12499.0,13301.0,0.06029621832944891
A651,3994.0,22810.0,26804.0,0.14900761080435757
A626,2345.0,15763.0,18108.0,0.12950077313894412
A382,2252.0,3559.0,5811.0,0.3875408707623473
A311,1597.0,6021.0,7618.0,0.20963507482278812
A366,1500.0,20677.0,22177.0,0.06763764260269649
A721,1067.0,16220.0,17287.0,0.06172268178399954
A756,2044.0,14696.0,16740.0,0.12210274790919952
A168,1557.0,6355.0,7912.0,0.1967896865520728
A902,1820.0,11912.0,13732.0,0.13253713952810953
A896,4472.0,6908.0,11380.0,0.3929701230228471
A455,1662.0,15446.0,17108.0,0.09714753331774609
A422,5480.0,10844.0,16324.0,0.3357020338152414
A1083,149.0,20412.0,20561.0,0.007246729244686542
A1160,4358.0,11995.0,16353.0,0.26649544426099187
A525,5456.0,13829.0,19285.0,0.282914182006741
A872,3186.0,18579.0,21765.0,0.14638180565127498
A428,5404.0,17335.0,22739.0,0.2376533708606359
A991,1397.0,4439.0,5836.0,0.23937628512679918
A162,4543.0,17000.0,21543.0,0.21088056445249037
A347,2605.0,12165.0,14770.0,0.17637102234258634
A330,2069.0,17386.0,19455.0,0.10634798252377281
A777,1709.0,4914.0,6623.0,0.258040163068096
A799,4119.0,16851.0,20970.0,0.19642346208869815
A607,5106.0,13632.0,18738.0,0.27249439641370476
A670,4158.0,15488.0,19646.0,0.2116461366181411
A824,3551.0,13226.0,16777.0,0.21165881862073077
A409,3118.0,18425.0,21543.0,0.14473378823747854
A490,6477.0,10624.0,17101.0,0.3787497807145781
A143,2167.0,6545.0,8712.0,0.24873737373737373
A134,2425.0,17078.0,19503.0,0.1243398451520279
A149,4267.0,18442.0,22709.0,0.18789907085296578
A403,4704.0,18089.0,22793.0,0.2063791514938797
A597,5134.0,16517.0,21651.0,0.23712530599048542
A474,2501.0,6525.0,9026.0,0.27708841125637046
A27,2265.0,16510.0,18775.0,0.12063914780292943
A579,2361.0,15064.0,17425.0,0.13549497847919656
A732,267.0,13636.0,13903.0,0.019204488239948213
A745,1703.0,6914.0,8617.0,0.19763258674712778
A648,796.0,11336.0,12132.0,0.06561160567095285
A308,483.0,3103.0,3586.0,0.1346904629113218
A205,7511.0,14317.0,21828.0,0.3440993219717794
A738,833.0,18679.0,19512.0,0.042691676916769165
A642,2970.0,22715.0,25685.0,0.11563169164882227
A635,1377.0,24671.0,26048.0,0.052863943488943486
A106,9750.0,16402.0,26152.0,0.37282043438360357
A171,5873.0,17548.0,23421.0,0.25075786687161095
A1173,1054.0,20713.0,21767.0,0.048421923094592735
A982,653.0,18234.0,18887.0,0.0345740456398581
A816,1085.0,15351.0,16436.0,0.06601362862010221
A536,3109.0,18114.0,21223.0,0.14649201338170853
A1074,2174.0,19575.0,21749.0,0.09995861878707067
A1197,3394.0,18817.0,22211.0,0.1528071676196479
A446,444.0,9137.0,9581.0,0.04634171798350903
A988,4310.0,17241.0,21551.0,0.19999071968818152
A431,2352.0,21043.0,23395.0,0.10053430220132507
A966,996.0,7318.0,8314.0,0.1197979312003849
